Id,distance,Data/CP17/4MHA-4CNN_split.rels,Data/CP17/TEES_split.rels
d235.s7.2.13,11,FP,FP
d235.s7.2.32,30,FP,FP
d235.s7.2.34,32,FP,FP
d235.s7.2.8,6,FP,FP
d235.s8.0.24,24,-,FP
d235.s8.0.34,34,FP,FP
d235.s8.0.39,39,FP,FP
d235.s8.0.42,42,FP,FP
d235.s8.8.34,26,FP,FP
d235.s8.8.39,31,FP,FP
d235.s8.8.42,34,FP,FP
d235.s9.0.10,10,FP,FP
d236.s2.4.24,20,FP,-
d236.s2.8.24,16,FP,-
d238.s4.18.26,8,FP,FP
d238.s4.20.26,6,FP,FP
d238.s5.3.7,4,FP,FP
d238.s6.3.7,4,FP,FP
d239.s1.3.11,8,TP,-
d239.s1.3.16,13,TP,-
d239.s1.3.18,15,TP,-
d239.s1.3.9,6,TP,-
d239.s11.2.13,11,TP,TP
d24.s0.8.14,6,TP,TP
d24.s12.4.9,5,FP,FP
d24.s12.9.14,5,FP,FP
d24.s2.15.26,11,TP,-
d24.s2.17.26,9,TP,TP
d24.s5.7.21,14,FP,FP
d240.s8.17.23,6,-,TP
d240.s8.19.23,4,-,TP
d240.s9.7.13,6,TP,-
d240.s9.7.16,9,TP,-
d240.s9.7.19,12,TP,-
d242.s0.9.11,2,FP,FP
d242.s3.2.17,15,FP,-
d243.s2.4.11,7,-,TP
d244.s0.0.6,6,TP,TP
d244.s0.2.6,4,TP,TP
d244.s10.3.15,12,-,FP
d244.s12.7.12,5,TP,-
d244.s2.0.13,13,TP,TP
d244.s2.2.13,11,TP,TP
d244.s2.6.13,7,TP,TP
d244.s3.7.9,2,FP,FP
d244.s7.4.15,11,TP,TP
d244.s7.4.19,15,TP,-
d244.s9.3.7,4,TP,TP
d244.s9.5.7,2,TP,TP
d247.s2.11.14,3,TP,TP
d247.s5.13.15,2,TP,TP
d247.s9.19.21,2,TP,TP
d248.s8.12.21,9,FP,FP
d248.s8.15.21,6,FP,FP
d248.s8.5.21,16,-,FP
d248.s8.8.21,13,FP,FP
d249.s6.7.18,11,TP,-
d249.s6.7.19,12,TP,TP
d249.s6.7.21,14,TP,TP
d249.s6.9.18,9,TP,-
d249.s6.9.19,10,TP,TP
d249.s6.9.21,12,TP,TP
d25.s0.0.4,4,FP,FP
d25.s5.16.25,9,FP,FP
d25.s5.16.39,23,FP,FP
d25.s6.7.12,5,FP,FP
d25.s7.12.18,6,FP,FP
d25.s8.7.9,2,FP,FP
d250.s0.0.15,15,-,FP
d250.s0.0.18,18,-,TP
d250.s1.2.4,2,TP,TP
d250.s1.2.9,7,-,TP
d250.s3.11.14,3,FP,-
d250.s5.0.14,14,-,FP
d250.s5.0.2,2,FP,FP
d250.s6.3.48,45,FP,FP
d250.s6.3.5,2,TP,TP
d250.s6.3.50,47,FP,FP
d250.s7.10.17,7,FP,FP
d250.s7.17.19,2,FP,FP
d250.s7.3.10,7,TP,TP
d250.s7.3.5,2,FP,FP
d250.s7.3.7,4,FP,FP
d250.s9.1.14,13,FP,FP
d250.s9.1.16,15,-,FP
d250.s9.1.19,18,TP,TP
d250.s9.1.6,5,TP,TP
d250.s9.1.9,8,TP,TP
d251.s0.5.10,5,TP,TP
d251.s0.5.12,7,TP,TP
d251.s3.10.20,10,TP,-
d251.s3.16.20,4,TP,-
d251.s3.8.20,12,TP,-
d251.s4.4.10,6,TP,TP
d251.s4.4.12,8,TP,TP
d251.s5.20.23,3,FP,FP
d251.s5.20.25,5,FP,FP
d251.s5.6.8,2,TP,TP
d251.s6.2.6,4,FP,FP
d251.s6.6.12,6,FP,FP
d251.s7.7.15,8,TP,TP
d251.s7.7.9,2,TP,TP
d251.s8.12.27,15,-,TP
d253.s1.17.27,10,TP,TP
d253.s1.27.36,9,TP,TP
d253.s1.27.42,15,FP,FP
d254.s1.12.22,10,TP,TP
d254.s1.14.22,8,TP,TP
d254.s1.2.22,20,TP,-
d254.s1.4.22,18,TP,-
d254.s3.2.15,13,-,FP
d254.s3.2.23,21,-,TP
d255.s5.4.7,3,TP,-
d255.s5.4.9,5,TP,-
d257.s5.6.7,1,-,FP
d257.s7.15.18,3,FP,FP
d259.s4.10.24,14,TP,TP
d26.s1.17.33,16,TP,TP
d26.s1.18.33,15,-,TP
d26.s1.24.33,9,TP,TP
d26.s1.5.33,28,TP,TP
d26.s10.0.11,11,TP,TP
d26.s3.14.19,5,-,FP
d26.s3.19.26,7,TP,TP
d26.s3.4.14,10,TP,TP
d26.s3.6.14,8,TP,TP
d260.s5.13.16,3,FP,-
d260.s9.2.5,3,FP,FP
d261.s1.1.20,19,TP,TP
d261.s1.13.20,7,TP,TP
d261.s5.20.37,17,FP,FP
d261.s7.41.44,3,FP,FP
d262.s6.19.21,2,FP,FP
d262.s9.10.20,10,FP,-
d262.s9.12.20,8,FP,-
d264.s7.1.31,30,TP,-
d266.s0.11.13,2,TP,TP
d27.s6.33.39,6,FP,FP
d270.s1.2.19,17,TP,TP
d270.s1.4.19,15,TP,TP
d270.s5.3.10,7,FP,FP
d270.s7.7.13,6,TP,-
d271.s3.5.12,7,TP,TP
d271.s3.5.15,10,TP,TP
d271.s3.5.17,12,TP,TP
d271.s4.4.14,10,FP,FP
d271.s5.8.16,8,-,TP
d272.s0.6.9,3,TP,TP
d272.s3.11.16,5,-,FP
d272.s3.16.18,2,-,TP
d272.s3.16.20,4,TP,TP
d274.s1.1.10,9,TP,TP
d274.s1.1.7,6,TP,TP
d274.s1.3.10,7,TP,TP
d274.s1.3.7,4,TP,TP
d274.s2.15.16,1,FP,FP
d274.s4.3.11,8,FP,-
d274.s8.11.15,4,FP,FP
d274.s8.8.15,7,FP,FP
d275.s10.32.47,15,FP,-
d275.s10.42.47,5,FP,-
d275.s10.44.47,3,FP,-
d276.s3.17.39,22,TP,TP
d276.s3.22.39,17,TP,TP
d276.s3.33.39,6,TP,TP
d277.s0.1.11,10,TP,-
d277.s1.1.16,15,FP,FP
d277.s1.1.18,17,TP,TP
d277.s1.1.20,19,TP,TP
d277.s1.3.16,13,FP,FP
d277.s1.3.18,15,TP,TP
d277.s1.3.20,17,TP,TP
d277.s3.47.71,24,-,FP
d277.s3.52.71,19,FP,FP
d277.s3.56.71,15,-,FP
d277.s3.65.71,6,FP,FP
d277.s3.67.71,4,FP,FP
d277.s3.71.76,5,TP,TP
d277.s3.71.78,7,TP,TP
d277.s3.71.80,9,-,TP
d277.s3.71.84,13,TP,TP
d279.s0.0.4,4,FP,FP
d279.s0.2.4,2,FP,-
d279.s8.0.17,17,FP,FP
d279.s8.0.22,22,FP,FP
d279.s8.0.24,24,FP,FP
d279.s8.0.29,29,FP,FP
d279.s8.0.33,33,FP,FP
d279.s8.0.40,40,-,FP
d279.s8.2.17,15,FP,FP
d279.s8.2.22,20,FP,FP
d279.s8.2.24,22,FP,FP
d279.s8.2.29,27,FP,FP
d279.s8.2.33,31,FP,FP
d279.s8.37.40,3,FP,FP
d28.s1.20.31,11,FP,FP
d28.s1.26.31,5,-,TP
d280.s3.22.33,11,FP,FP
d280.s3.41.47,6,FP,-
d281.s0.3.8,5,FP,FP
d281.s18.4.17,13,FP,FP
d281.s2.0.19,19,FP,FP
d281.s2.11.19,8,FP,FP
d281.s2.2.19,17,FP,FP
d283.s0.9.27,18,FP,-
d283.s1.14.27,13,FP,-
d283.s1.14.29,15,FP,-
d283.s1.18.27,9,FP,-
d283.s1.18.29,11,FP,-
d283.s10.31.36,5,FP,FP
d283.s10.31.38,7,FP,-
d284.s4.0.8,8,-,FP
d286.s2.22.24,2,FP,FP
d286.s2.22.26,4,FP,-
d286.s2.22.31,9,FP,-
d287.s5.12.14,2,FP,FP
d288.s0.1.13,12,TP,TP
d288.s0.3.13,10,TP,TP
d288.s6.1.12,11,TP,-
d288.s6.1.14,13,TP,-
d288.s6.4.12,8,TP,-
d288.s6.4.14,10,TP,-
d288.s6.6.12,6,TP,-
d288.s6.6.14,8,TP,-
d288.s9.10.16,6,FP,FP
d289.s0.5.12,7,FP,FP
d29.s0.15.22,7,FP,FP
d29.s8.9.17,8,TP,TP
d29.s8.9.19,10,TP,TP
d29.s9.30.36,6,TP,TP
d29.s9.30.41,11,TP,TP
d29.s9.7.26,19,TP,TP
d29.s9.7.41,34,FP,-
d29.s9.9.26,17,TP,TP
d29.s9.9.41,32,FP,-
d290.s1.0.16,16,TP,TP
d290.s1.4.16,12,TP,TP
d290.s1.8.16,8,TP,TP
d291.s13.0.10,10,TP,TP
d291.s13.0.13,13,TP,TP
d291.s13.0.6,6,TP,TP
d291.s13.0.8,8,TP,TP
d291.s8.19.27,8,FP,FP
d291.s8.21.27,6,FP,FP
d293.s1.1.11,10,TP,TP
d293.s1.1.9,8,TP,TP
d293.s1.3.11,8,TP,TP
d293.s1.3.9,6,TP,TP
d293.s4.0.9,9,FP,-
d293.s5.16.18,2,FP,FP
d293.s6.1.18,17,TP,TP
d293.s6.3.18,15,TP,TP
d295.s0.5.7,2,FP,FP
d295.s2.10.14,4,FP,FP
d295.s2.14.41,27,FP,-
d295.s2.14.47,33,FP,-
d295.s5.3.9,6,FP,FP
d295.s5.5.9,4,FP,FP
d295.s9.2.11,9,FP,FP
d295.s9.2.6,4,FP,FP
d296.s12.7.13,6,FP,FP
d296.s2.4.13,9,FP,FP
d296.s2.4.15,11,FP,FP
d296.s7.11.20,9,FP,FP
d296.s7.4.20,16,FP,FP
d296.s7.8.20,12,FP,FP
d297.s2.8.12,4,TP,-
d297.s5.13.20,7,FP,-
d297.s5.15.20,5,FP,FP
d298.s5.11.21,10,FP,FP
d298.s5.13.21,8,FP,FP
d298.s5.15.21,6,FP,FP
d298.s5.5.11,6,FP,FP
d298.s5.5.13,8,FP,-
d298.s5.5.15,10,FP,-
d298.s5.5.8,3,FP,FP
d298.s5.8.21,13,FP,FP
d298.s7.18.22,4,FP,-
d298.s7.18.29,11,FP,-
d298.s7.18.37,19,FP,-
d298.s7.37.42,5,FP,-
d298.s8.2.15,13,FP,-
d298.s8.2.20,18,FP,-
d298.s8.2.25,23,FP,-
d298.s8.2.27,25,FP,-
d298.s8.2.30,28,FP,-
d298.s8.2.35,33,FP,-
d298.s8.2.43,41,FP,-
d298.s8.2.48,46,FP,FP
d298.s8.2.52,50,FP,-
d299.s3.7.13,6,FP,FP
d299.s3.7.15,8,FP,FP
d299.s5.26.45,19,FP,-
d3.s3.9.12,3,FP,FP
d3.s6.20.25,5,FP,FP
d300.s15.17.36,19,TP,-
d300.s17.0.5,5,FP,FP
d301.s1.2.17,15,TP,TP
d301.s1.2.19,17,TP,TP
d301.s1.2.21,19,FP,FP
d301.s1.4.17,13,TP,TP
d301.s1.4.19,15,TP,TP
d301.s1.4.21,17,FP,FP
d301.s3.13.15,2,FP,FP
d301.s4.9.19,10,FP,FP
d301.s4.9.22,13,FP,FP
d303.s1.3.11,8,TP,TP
d303.s1.3.14,11,TP,TP
d303.s1.3.6,3,TP,TP
d303.s1.3.8,5,TP,TP
d303.s4.7.10,3,TP,TP
d303.s5.21.23,2,FP,-
d303.s5.5.12,7,FP,-
d303.s6.14.18,4,FP,-
d303.s6.7.14,7,FP,FP
d303.s6.9.14,5,FP,FP
d304.s1.0.4,4,TP,TP
d304.s4.16.31,15,FP,-
d304.s4.31.37,6,FP,-
d306.s4.14.33,19,FP,FP
d306.s4.14.36,22,FP,FP
d306.s4.16.33,17,FP,FP
d306.s4.16.36,20,FP,FP
d306.s4.19.33,14,FP,FP
d306.s4.19.36,17,FP,FP
d306.s4.21.33,12,FP,FP
d306.s4.21.36,15,FP,FP
d306.s4.7.33,26,FP,FP
d306.s4.7.36,29,FP,FP
d306.s4.9.33,24,FP,FP
d306.s4.9.36,27,FP,FP
d307.s4.18.34,16,FP,-
d307.s4.20.34,14,FP,-
d308.s8.0.12,12,FP,FP
d308.s8.0.6,6,FP,FP
d31.s0.0.11,11,TP,FP
d31.s0.0.9,9,FP,FP
d31.s6.23.26,3,FP,FP
d31.s6.7.26,19,FP,FP
d31.s6.7.43,36,FP,FP
d31.s7.4.6,2,FP,-
d310.s0.6.7,1,FP,FP
d310.s1.0.19,19,FP,FP
d310.s11.7.9,2,FP,FP
d310.s2.6.11,5,FP,FP
d310.s3.7.11,4,FP,FP
d310.s3.7.16,9,FP,FP
d310.s4.5.8,3,FP,FP
d310.s5.19.21,2,FP,FP
d310.s6.0.2,2,TP,TP
d310.s9.5.7,2,FP,-
d311.s4.4.11,7,FP,FP
d311.s4.4.6,2,FP,FP
d311.s4.6.9,3,FP,FP
d311.s4.9.11,2,FP,FP
d311.s5.5.7,2,FP,FP
d311.s8.4.15,11,FP,FP
d311.s8.4.17,13,FP,FP
d311.s8.6.15,9,FP,-
d312.s0.0.4,4,FP,FP
d312.s3.11.14,3,FP,FP
d312.s3.11.32,21,FP,-
d312.s3.5.11,6,FP,FP
d312.s3.7.11,4,FP,FP
d312.s4.6.8,2,FP,FP
d312.s6.2.5,3,FP,FP
d312.s7.2.7,5,FP,FP
d312.s7.7.16,9,FP,FP
d313.s0.0.10,10,FP,FP
d313.s3.0.10,10,FP,FP
d313.s3.0.28,28,FP,-
d313.s3.0.32,32,FP,-
d313.s3.0.40,40,FP,-
d313.s3.3.10,7,FP,FP
d313.s3.3.28,25,FP,FP
d313.s3.3.32,29,FP,FP
d313.s3.3.40,37,FP,FP
d313.s6.14.20,6,FP,FP
d313.s7.2.13,11,FP,FP
d313.s7.2.9,7,FP,FP
d313.s8.0.6,6,FP,FP
d314.s5.16.25,9,FP,-
d314.s6.11.13,2,FP,FP
d314.s6.11.23,12,FP,FP
d314.s6.36.41,5,TP,TP
d314.s6.5.13,8,FP,FP
d314.s6.5.23,18,FP,FP
d315.s5.0.14,14,FP,FP
d318.s2.0.5,5,FP,-
d319.s4.4.16,12,FP,FP
d320.s1.16.32,16,FP,-
d320.s1.24.32,8,FP,FP
d322.s0.0.6,6,FP,FP
d322.s1.0.16,16,FP,FP
d322.s1.6.16,10,FP,FP
d322.s3.3.11,8,FP,FP
d322.s4.25.32,7,FP,FP
d325.s1.12.28,16,FP,FP
d325.s1.12.30,18,FP,FP
d325.s11.3.7,4,FP,FP
d325.s2.13.17,4,FP,FP
d325.s2.13.19,6,FP,FP
d325.s2.13.21,8,FP,FP
d326.s3.13.18,5,TP,TP
d326.s3.13.22,9,TP,TP
d327.s0.4.6,2,TP,-
d327.s1.6.8,2,TP,TP
d329.s2.14.19,5,FP,FP
d329.s2.14.23,9,FP,FP
d329.s2.14.27,13,FP,-
d329.s2.6.10,4,FP,FP
d329.s3.5.20,15,FP,FP
d33.s0.1.15,14,FP,-
d33.s8.3.11,8,FP,FP
d331.s0.0.7,7,FP,FP
d331.s0.0.9,9,FP,FP
d331.s0.2.7,5,FP,-
d331.s0.2.9,7,FP,FP
d331.s3.0.13,13,FP,FP
d331.s3.0.16,16,FP,FP
d331.s3.0.19,19,FP,FP
d331.s3.0.31,31,FP,-
d331.s3.0.7,7,FP,FP
d331.s3.2.13,11,FP,FP
d331.s3.2.16,14,FP,FP
d331.s3.2.19,17,FP,FP
d331.s3.2.31,29,FP,-
d331.s3.2.42,40,FP,-
d331.s3.2.44,42,FP,-
d331.s3.2.7,5,FP,FP
d331.s4.2.4,2,FP,FP
d331.s4.2.6,4,FP,FP
d331.s7.6.21,15,FP,FP
d331.s7.6.23,17,FP,FP
d332.s0.0.5,5,FP,FP
d332.s5.3.8,5,FP,FP
d332.s6.12.16,4,FP,FP
d332.s6.12.17,5,FP,FP
d332.s6.12.23,11,FP,FP
d332.s6.12.25,13,FP,FP
d332.s6.12.31,19,FP,FP
d332.s6.12.33,21,FP,FP
d332.s6.12.42,30,FP,FP
d332.s6.3.12,9,FP,FP
d332.s8.10.16,6,FP,FP
d332.s8.10.22,12,FP,FP
d334.s0.0.10,10,TP,TP
d334.s0.0.5,5,TP,TP
d334.s6.7.10,3,TP,TP
d334.s6.7.19,12,-,TP
d334.s6.7.21,14,-,TP
d335.s4.10.23,13,FP,-
d335.s5.17.26,9,TP,TP
d335.s5.19.26,7,FP,-
d335.s5.7.11,4,TP,TP
d335.s6.25.27,2,TP,TP
d335.s6.8.10,2,TP,TP
d336.s3.8.12,4,FP,FP
d336.s3.8.14,6,FP,FP
d337.s0.0.2,2,FP,FP
d337.s0.0.8,8,TP,TP
d337.s10.0.5,5,FP,FP
d337.s10.27.30,3,FP,FP
d337.s10.5.13,8,FP,FP
d337.s10.5.30,25,FP,FP
d337.s11.0.7,7,FP,FP
d337.s12.0.12,12,-,FP
d337.s12.0.14,14,-,FP
d337.s12.0.7,7,TP,TP
d337.s12.2.12,10,-,FP
d337.s12.2.14,12,-,FP
d337.s12.2.7,5,TP,TP
d337.s13.6.11,5,FP,-
d337.s13.6.13,7,FP,-
d337.s14.2.7,5,FP,FP
d337.s8.2.12,10,FP,FP
d337.s8.2.14,12,FP,FP
d337.s8.2.16,14,FP,FP
d337.s8.2.4,2,FP,FP
d337.s9.0.6,6,TP,TP
d338.s5.3.8,5,TP,TP
d339.s0.0.10,10,FP,-
d339.s2.4.15,11,FP,FP
d339.s6.3.6,3,FP,FP
d339.s6.6.12,6,FP,FP
d339.s6.6.15,9,FP,FP
d339.s6.6.20,14,FP,FP
d339.s6.6.22,16,FP,FP
d339.s7.0.6,6,FP,FP
d339.s8.0.16,16,FP,FP
d339.s8.0.19,19,FP,FP
d339.s8.0.23,23,FP,FP
d339.s8.0.6,6,FP,FP
d339.s8.0.7,7,FP,FP
d34.s0.2.5,3,FP,FP
d34.s0.5.13,8,FP,-
d34.s10.6.25,19,-,FP
d34.s11.5.11,6,FP,FP
d34.s12.3.19,16,FP,-
d34.s12.9.19,10,FP,FP
d34.s3.13.15,2,FP,FP
d34.s6.11.37,26,-,FP
d34.s6.19.37,18,FP,FP
d34.s6.2.13,11,TP,TP
d34.s6.2.37,35,FP,FP
d34.s6.21.37,16,FP,FP
d34.s6.23.37,14,FP,FP
d34.s6.28.37,9,FP,FP
d34.s6.30.37,7,FP,FP
d34.s7.0.11,11,FP,FP
d34.s7.0.29,29,FP,FP
d34.s7.0.31,31,FP,FP
d34.s7.0.7,7,FP,FP
d34.s9.13.24,11,FP,FP
d34.s9.20.24,4,FP,FP
d34.s9.6.24,18,FP,FP
d343.s0.0.12,12,FP,-
d343.s5.0.16,16,FP,FP
d343.s5.0.24,24,FP,FP
d343.s5.0.6,6,FP,FP
d343.s5.2.16,14,FP,FP
d343.s5.2.24,22,FP,FP
d343.s5.2.6,4,FP,FP
d343.s6.23.26,3,FP,-
d343.s6.23.28,5,FP,-
d344.s6.1.15,14,FP,FP
d345.s3.0.18,18,FP,FP
d345.s3.0.33,33,FP,-
d345.s3.0.5,5,FP,FP
d346.s1.26.33,7,TP,-
d346.s1.26.35,9,TP,-
d346.s1.26.42,16,TP,-
d346.s1.26.48,22,TP,-
d346.s3.0.12,12,FP,FP
d346.s3.0.4,4,TP,TP
d347.s10.0.13,13,TP,-
d347.s9.0.18,18,FP,FP
d347.s9.0.21,21,FP,FP
d347.s9.0.23,23,FP,FP
d347.s9.0.29,29,FP,FP
d347.s9.0.3,3,FP,FP
d347.s9.0.34,34,FP,FP
d347.s9.0.36,36,FP,FP
d347.s9.0.39,39,FP,FP
d349.s0.3.9,6,TP,-
d349.s10.28.33,5,TP,TP
d349.s10.28.36,8,TP,-
d349.s11.27.34,7,TP,TP
d349.s11.28.34,6,TP,TP
d349.s11.3.11,8,-,TP
d349.s11.3.27,24,FP,-
d349.s11.3.28,25,FP,-
d349.s11.3.30,27,FP,-
d349.s11.30.34,4,FP,FP
d349.s12.9.13,4,FP,-
d349.s2.4.12,8,TP,-
d349.s6.10.14,4,TP,TP
d349.s7.8.10,2,-,TP
d349.s7.8.12,4,-,TP
d349.s8.3.6,3,TP,TP
d349.s9.0.11,11,-,FP
d349.s9.0.4,4,FP,FP
d349.s9.2.11,9,FP,FP
d349.s9.2.4,2,FP,FP
d35.s10.0.4,4,FP,FP
d35.s2.0.2,2,TP,TP
d35.s5.10.25,15,FP,-
d35.s5.10.32,22,FP,-
d35.s5.12.25,13,FP,-
d35.s5.12.32,20,FP,-
d35.s8.1.10,9,FP,FP
d35.s8.1.14,13,FP,FP
d35.s8.1.16,15,FP,FP
d35.s8.1.6,5,FP,FP
d35.s8.1.8,7,FP,FP
d35.s8.10.29,19,FP,FP
d35.s8.14.29,15,FP,FP
d35.s8.14.32,18,FP,FP
d35.s8.16.29,13,FP,FP
d35.s8.6.29,23,FP,FP
d35.s8.6.32,26,FP,FP
d35.s8.8.29,21,FP,FP
d35.s8.8.32,24,FP,FP
d35.s9.3.19,16,FP,FP
d350.s3.28.54,26,-,FP
d350.s3.28.57,29,-,FP
d352.s3.7.10,3,TP,TP
d352.s7.0.22,22,FP,-
d352.s7.22.33,11,FP,-
d352.s8.2.18,16,FP,FP
d352.s9.11.19,8,-,FP
d352.s9.13.19,6,-,FP
d356.s0.7.9,2,FP,-
d356.s5.13.16,3,FP,-
d358.s3.0.3,3,FP,FP
d358.s3.0.5,5,FP,FP
d358.s4.1.6,5,FP,FP
d358.s4.1.8,7,FP,FP
d36.s4.13.15,2,FP,FP
d36.s4.13.17,4,FP,FP
d36.s4.13.20,7,FP,FP
d36.s4.13.22,9,FP,FP
d36.s4.13.26,13,FP,FP
d36.s4.13.28,15,FP,FP
d360.s2.18.32,14,TP,-
d360.s7.3.11,8,-,FP
d360.s7.3.17,14,-,FP
d360.s7.3.8,5,-,FP
d363.s2.0.18,18,FP,FP
d363.s2.0.22,22,FP,FP
d363.s2.0.6,6,FP,FP
d363.s2.0.8,8,FP,FP
d368.s0.1.11,10,TP,TP
d368.s0.1.14,13,TP,-
d368.s0.1.5,4,FP,FP
d368.s4.6.13,7,FP,FP
d368.s8.2.11,9,TP,TP
d368.s8.2.13,11,TP,TP
d368.s8.2.6,4,TP,-
d37.s0.2.5,3,FP,FP
d37.s2.5.10,5,FP,-
d37.s2.5.20,15,FP,-
d37.s2.5.32,27,FP,-
d372.s1.3.10,7,-,FP
d372.s1.9.10,1,FP,FP
d377.s5.10.13,3,TP,TP
d378.s0.2.11,9,TP,TP
d378.s0.2.14,12,TP,TP
d378.s0.4.11,7,TP,TP
d378.s0.4.14,10,TP,TP
d378.s2.4.17,13,TP,TP
d378.s2.4.19,15,TP,TP
d378.s2.4.24,20,TP,TP
d378.s2.4.26,22,TP,TP
d378.s4.4.7,3,FP,FP
d378.s4.7.22,15,TP,-
d378.s5.20.28,8,FP,-
d378.s5.8.28,20,TP,-
d378.s6.10.21,11,-,TP
d378.s6.3.21,18,TP,TP
d378.s6.3.26,23,TP,TP
d378.s6.5.21,16,TP,TP
d378.s6.5.26,21,TP,TP
d378.s7.20.25,5,TP,-
d379.s0.5.8,3,TP,TP
d379.s1.3.19,16,FP,FP
d379.s1.3.21,18,FP,FP
d379.s4.25.30,5,TP,TP
d379.s7.1.13,12,FP,FP
d379.s7.11.13,2,TP,TP
d379.s7.13.29,16,FP,FP
d381.s1.5.12,7,FP,FP
d381.s1.5.14,9,FP,FP
d381.s1.7.12,5,FP,FP
d381.s1.7.14,7,FP,FP
d381.s10.12.15,3,FP,-
d381.s2.0.14,14,FP,-
d381.s2.2.14,12,FP,FP
d381.s2.6.14,8,FP,FP
d381.s2.9.14,5,FP,FP
d381.s7.4.16,12,FP,FP
d381.s7.6.16,10,FP,FP
d382.s10.5.12,7,-,TP
d382.s5.2.9,7,-,FP
d382.s9.0.3,3,FP,FP
d382.s9.0.7,7,FP,FP
d385.s6.2.31,29,FP,-
d386.s0.0.14,14,FP,FP
d386.s0.0.6,6,FP,FP
d386.s3.4.11,7,FP,FP
d386.s3.4.20,16,-,FP
d386.s3.4.23,19,FP,FP
d386.s3.6.11,5,FP,FP
d386.s3.6.20,14,FP,FP
d386.s3.6.23,17,FP,FP
d386.s4.12.24,12,FP,FP
d386.s4.12.28,16,FP,FP
d386.s4.12.30,18,FP,FP
d386.s4.12.33,21,FP,FP
d386.s4.12.37,25,FP,FP
d386.s4.12.42,30,FP,FP
d386.s4.3.8,5,TP,TP
d386.s5.2.11,9,FP,-
d386.s5.2.15,13,FP,FP
d386.s5.2.25,23,FP,FP
d386.s5.2.6,4,FP,-
d386.s7.2.14,12,FP,FP
d386.s7.2.16,14,FP,FP
d386.s7.2.20,18,FP,FP
d386.s7.2.37,35,TP,TP
d386.s7.2.39,37,FP,FP
d386.s8.3.11,8,FP,FP
d386.s8.3.14,11,FP,FP
d386.s8.3.22,19,FP,FP
d387.s5.27.32,5,FP,FP
d387.s5.27.34,7,FP,FP
d387.s6.10.51,41,FP,-
d387.s6.15.51,36,FP,-
d387.s6.20.51,31,FP,-
d387.s6.22.51,29,FP,-
d387.s6.25.51,26,FP,-
d387.s6.29.51,22,FP,-
d387.s6.4.51,47,FP,-
d387.s7.2.10,8,FP,FP
d387.s7.2.12,10,FP,FP
d387.s7.2.15,13,FP,FP
d387.s8.19.33,14,FP,FP
d387.s8.21.33,12,FP,FP
d389.s4.11.29,18,FP,-
d389.s4.13.29,16,FP,-
d389.s4.15.29,14,FP,-
d389.s4.2.29,27,FP,FP
d389.s4.22.29,7,FP,FP
d389.s4.9.29,20,FP,-
d39.s4.4.6,2,FP,FP
d390.s4.3.17,14,FP,FP
d390.s4.3.25,22,FP,FP
d391.s0.2.7,5,FP,FP
d391.s4.0.10,10,FP,FP
d391.s4.0.14,14,FP,FP
d391.s4.0.4,4,FP,FP
d391.s4.0.8,8,FP,FP
d391.s5.0.10,10,FP,FP
d391.s5.0.14,14,FP,FP
d391.s5.0.16,16,FP,FP
d391.s5.0.19,19,FP,FP
d391.s5.0.4,4,FP,FP
d391.s5.0.8,8,FP,FP
d391.s6.2.5,3,FP,FP
d391.s6.5.11,6,FP,FP
d391.s7.3.5,2,FP,FP
d391.s7.5.10,5,FP,FP
d391.s7.5.24,19,FP,FP
d391.s7.5.9,4,FP,FP
d391.s8.4.20,16,FP,-
d391.s8.4.30,26,FP,FP
d391.s8.4.9,5,FP,FP
d392.s1.1.5,4,FP,FP
d392.s1.5.7,2,-,FP
d392.s3.19.28,9,TP,TP
d392.s3.19.40,21,FP,-
d392.s3.21.28,7,TP,TP
d393.s0.0.3,3,FP,FP
d393.s4.0.3,3,FP,FP
d393.s4.0.6,6,FP,FP
d393.s4.19.22,3,FP,FP
d393.s5.3.5,2,TP,TP
d393.s5.5.11,6,FP,FP
d393.s5.7.11,4,FP,FP
d393.s7.2.16,14,TP,TP
d393.s8.4.8,4,FP,FP
d394.s0.1.8,7,TP,-
d394.s0.5.18,13,FP,-
d394.s0.5.8,3,TP,-
d394.s3.10.13,3,TP,TP
d394.s3.10.15,5,TP,TP
d394.s4.0.6,6,FP,-
d394.s4.2.6,4,FP,FP
d394.s4.6.8,2,-,FP
d394.s5.8.10,2,FP,FP
d394.s7.7.10,3,TP,TP
d394.s8.2.4,2,TP,TP
d394.s8.2.6,4,TP,TP
d394.s8.4.15,11,TP,TP
d394.s8.6.15,9,TP,TP
d397.s6.13.24,11,FP,FP
d4.s0.2.10,8,FP,FP
d4.s1.11.28,17,FP,-
d4.s1.11.30,19,FP,-
d4.s1.13.28,15,FP,FP
d4.s1.13.30,17,FP,FP
d4.s2.34.41,7,-,FP
d4.s2.34.43,9,-,FP
d4.s2.34.49,15,-,FP
d4.s2.36.41,5,-,FP
d4.s2.36.43,7,-,FP
d4.s2.36.49,13,-,FP
d4.s4.7.21,14,FP,FP
d4.s6.12.18,6,-,TP
d4.s6.12.20,8,-,TP
d400.s10.14.16,2,FP,-
d400.s10.14.32,18,FP,FP
d402.s0.5.10,5,TP,TP
d402.s0.5.12,7,TP,TP
d402.s2.10.21,11,FP,FP
d402.s2.10.23,13,FP,FP
d402.s2.10.25,15,FP,FP
